Method,Best CV Score,Best Params,Wall-Clock Time (s)
GridSearchCV,0.9817,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",2.23
RandomizedSearchCV,0.9817,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 1}",1.4
